net,length_um
memory._0421_,105.78
memory._0294_\[1000\],105.68
net142,105.56
net135,105.38
net128,105.34
memory._0294_\[274\],105.32
_04114_,105.2
memory._0294_\[1275\],105.1
net112,105.01
net299,104.92
net61,104.89
net42,104.86
net181,104.75
net265,104.7
net149,104.68
net309,104.65
_04933_,104.64
_03905_,104.46
net104,104.35
net257,104.33
_05296_,104.28
_07500_,104.24
clknet_leaf_15_p_clock,103.955
_07807_,103.89
net171,103.82
_03593_,103.76
net270,103.74
_061_\[2\],103.73
_03552_,103.72
_04946_,103.7
_03591_,103.56
_04241_,103.54
_05019_,103.52
net58,103.33
clknet_leaf_371_p_clock,103.18
clknet_leaf_225_p_clock,103.14
net274,102.97
_03443_,102.84
net85,102.61
clknet_leaf_193_p_clock,101.96
net147,101.9
net129,101.89
net67,101.81
net189,101.79
net173,101.76
net163,101.68
_06602_,101.64
net139,101.64
clknet_leaf_60_p_clock,101.6
net186,101.59
_02511_,101.46
net31,101.4
net41,101.26
clknet_leaf_375_p_clock,101.14
_07093_,101.08
net198,101.05
net206,101.03
net121,100.92
_06975_,100.64
net109,100.63
net32,100.6
_03312_,100.54
net172,100.43
clknet_leaf_95_p_clock,99.92
_06967_,99.8
_07493_,99.3
net23,98.87
_04060_,98.82
memory._0294_\[1008\],98.78
clknet_leaf_75_p_clock,98.5
clknet_leaf_332_p_clock,98.44
net74,98.23
i2c_master._65_\[8\],98.14
net308,98.09
net94,98.07
_03222_,97.98
clknet_leaf_361_p_clock,97.56
_04441_,97.52
net53,97.44
net213,97.16
net233,97.06
clknet_leaf_139_p_clock,97.02
_03862_,96.98
net223,96.96
_07229_,96.835
clknet_leaf_362_p_clock,96.6
net225,96.36
clknet_leaf_182_p_clock,96.26
clknet_leaf_306_p_clock,96.22
net277,96.02
memory._0294_\[1273\],95.86
net180,95.82
net26,95.53
net221,95.49
net306,95.33
net201,95.22
net240,95.12
memory._0294_\[1274\],94.98
net56,94.95
_07101_,94.82
net143,94.77
clknet_leaf_101_p_clock,94.62
clknet_leaf_179_p_clock,94.58
clknet_leaf_254_p_clock,94.5
clknet_leaf_368_p_clock,94.48
clknet_leaf_363_p_clock,94.22
net205,93.99
net101,93.84
net48,93.75
i2c_master._44_\[6\],93.62
clknet_leaf_296_p_clock,93.49
net88,93.31
clknet_leaf_152_p_clock,93.18
net46,93.09
net21,93.04
_07496_,92.9
net313,92.86
i2c_master._68_\[7\],92.75
net65,92.73
net116,92.71
_05817_,92.68
net267,92.68
net44,92.63
net194,92.63
_05240_,92.44
net27,92.44
clknet_leaf_283_p_clock,92.32
_03520_,92.3
clknet_leaf_98_p_clock,92.28
clknet_leaf_96_p_clock,92.26
clknet_leaf_197_p_clock,92.14
_05268_,91.99
net36,91.86
net86,91.67
_06516_,91.64
clknet_leaf_14_p_clock,91.6
_03007_,91.58
_04217_,91.54
clknet_leaf_2_p_clock,91.4
memory._0294_\[984\],91.34
clknet_leaf_203_p_clock,91.22
